Artikelnummer;Name;Preis;Einheit;Verkaufsmenge;Artikelname;Artiketext;ArtikelnameEnglisch;ArtiketextEnglsich;Verkaufseinheit;;;;;
AG03;Mischermotor mit 2 m Kabel verdrahtet;114;Stk;1;mit 2 m Kabel verdrahtet, für den direkten Anbau auf den Mischer der MK-Gruppe, reversierbarer Synch;Mischermotor mit 2 m Kabel verdrahtet
mit 2 m Kabel verdrahtet, für den direkten Anbau auf den Mischer der MK-Gruppe, reversierbarer Synch
 für den
direkten Anbau auf den Mischer der
MK-Gruppe, reversierbarer
Synchronstellmotor, 230 V/50 Hz,
Laufzeit 2,5 min./90°, mit Nothand-
betrieb;mit 2 m Kabel verdrahtet, für den direkten Anbau auf den Mischer der MK-Gruppe, reversierbarer Synch;Mischermotor mit 2 m Kabel verdrahtet
mit 2 m Kabel verdrahtet, für den direkten Anbau auf den Mischer der MK-Gruppe, reversierbarer Synch
 für den
direkten Anbau auf den Mischer der
MK-Gruppe, reversierbarer
Synchronstellmotor, 230 V/50 Hz,
Laufzeit 2,5 min./90°, mit Nothand-
betrieb;Stk;;;;;
AG05;Wandkonsole mit Schrauben und Dübeln;61,8;Stk;1;für Verteilerbalken mit Dämmschalen inkl. Schrauben und Dübel;Wandkonsole mit Schrauben und Dübeln
für Verteilerbalken mit Dämmschalen inkl. Schrauben und Dübel;für Verteilerbalken mit Dämmschalen inkl. Schrauben und Dübel;Wandkonsole mit Schrauben und Dübeln
für Verteilerbalken mit Dämmschalen inkl. Schrauben und Dübel;Stk;;;;;
AG06;Verteilerbalken 5/4, 2 Heizkreise 02;274,8;Stk;1;mit Blockdämmunginkl. Verschraubungssatz 5/4;Verteilerbalken 5/4, 2 Heizkreise 02
mit Blockdämmunginkl. Verschraubungssatz 5/4;mit Blockdämmunginkl. Verschraubungssatz 5/4;Verteilerbalken 5/4, 2 Heizkreise 02
mit Blockdämmunginkl. Verschraubungssatz 5/4;Stk;;;;;
AG07;Verteilerbalken 5/4, 3 Heizkreise 02;356,3;Stk;1;mit Blockdämmunginkl. Verschraubungssatz 5/4;Verteilerbalken 5/4, 3 Heizkreise 02
mit Blockdämmunginkl. Verschraubungssatz 5/4;mit Blockdämmunginkl. Verschraubungssatz 5/4;Verteilerbalken 5/4, 3 Heizkreise 02
mit Blockdämmunginkl. Verschraubungssatz 5/4;Stk;;;;;
AG08;Solar-Modul-Anbaugruppe Wilo Yonos Para ST 25/7 RKC;522;Stk;1;;Solar-Modul-Anbaugruppe Wilo Yonos Para ST 25/7 RKC

Pumpengruppe UK-S mit Wandhalterung und
Ergänzungssatz "Solar" mit Sicherheits-
